title,link
还款协议填写说明,https://stuhome.ustc.edu.cn/_upload/article/files/43/9a/df153a284ee692c11910e8dd2dcc/66f6d4f8-2db4-4099-9a6e-4377cf400d49.doc
助学贷款还款协议,https://stuhome.ustc.edu.cn/_upload/article/files/89/d2/537a3be1471eae9077e65292428d/137cee8e-aeb4-4310-bda2-98e40e8a9920.doc
关于暑假学生离校、返校情况统计报送的通知及附件表格,https://stuhome.ustc.edu.cn/_upload/article/files/e8/f2/282fc17441eeaa5ad6aa879892eb/dfd37038-9bf3-402b-94b9-995cb9f4429a.rar
寒假学生安全教育相关通知及附件,https://stuhome.ustc.edu.cn/_upload/article/files/e4/19/c6fba1c54915894b5c494ba529bc/9ee07364-ee86-4788-98b8-59a9e3862f2d.rar
勤工助学报酬发放申报表,https://stuhome.ustc.edu.cn/_upload/article/files/fb/30/1d19d9304bdfa1694c79809072c8/3be39acc-f722-44a9-9863-367e1b3aa889.xls
基层就业学费和贷款代偿申请表,https://stuhome.ustc.edu.cn/_upload/article/files/9a/21/7366d8154163b051594b5fc96eba/c9c33d37-ca58-4deb-9bd6-0279466c3323.doc
辅导员工作手册,https://stuhome.ustc.edu.cn/_upload/article/files/69/e3/5677d6a34dfeb01dbc1c974e7bac/99734540-be68-437e-99e0-2b607bc53f1e.doc
班主任工作手册,https://stuhome.ustc.edu.cn/_upload/article/files/78/be/4e30b60249ed9dacc2c4870e6023/9eb8990f-b79e-4f42-95d5-d6689447ef5f.doc
勤工助学岗位设置申请表,https://stuhome.ustc.edu.cn/_upload/article/files/b0/35/a8b1d1a04d938281a7b461564269/54ef2511-b8a4-46bb-9029-4f32ccbee746.xlsx
关于在全校各班集体中设置安全委员的通知（学字【2010】36号）,https://stuhome.ustc.edu.cn/_upload/article/files/cb/97/29f37f894a61a97e876fb7a40485/53396ecb-7492-43c5-bf24-17ddc24c1653.doc
勤工助学上岗登记表,https://stuhome.ustc.edu.cn/_upload/article/files/3a/ec/f7e97d1f4f8085301dee71760f4a/c7e627dc-9a39-4ff3-aedc-87d3c763ffd0.xls
勤工助学上岗申请表,https://stuhome.ustc.edu.cn/_upload/article/files/a7/99/2ac899b148dd8f8faa5d67060b61/588384f5-c8ee-4a80-8bcd-eecc95d91ba2.doc
施工通知（模板）,https://bwc.ustc.edu.cn/2024/0116/c5655a628561/page.htm
中国科学技术大学施工备案表,https://bwc.ustc.edu.cn/2024/0116/c5655a628560/page.htm
施工进度计划表,https://bwc.ustc.edu.cn/2023/0725/c5655a609378/page.htm
施工责任书,https://bwc.ustc.edu.cn/2023/0725/c5655a609377/page.htm
动火作业申请表,https://bwc.ustc.edu.cn/2023/0725/c5655a609376/page.htm
安装作业申请表,https://bwc.ustc.edu.cn/2023/0725/c5655a609375/page.htm
中国科学技术大学确有必要校外人员、车辆进校申请表,https://bwc.ustc.edu.cn/2023/0725/c5655a609303/page.htm
特种车辆及大型货车入校备案表,https://bwc.ustc.edu.cn/2022/0921/c5655a570603/page.htm
在校期间无违纪违规记录证明申请表,https://bwc.ustc.edu.cn/2022/0920/c5655a570286/page.htm
机动车车辆通行证申请表,https://bwc.ustc.edu.cn/2022/0919/c5655a570129/page.htm
中国科学技术大学体育活动场馆使用申请表,https://bwc.ustc.edu.cn/2022/0919/c5655a570127/page.htm
中国科学技术大学大型会议场馆使用申请表,https://bwc.ustc.edu.cn/2020/1214/c5655a463555/page.htm
中国科大无人机使用申请表,https://bwc.ustc.edu.cn/2022/0506/c5655a553683/page.htm
中国科学技术大学宣广信息发布管理办法,https://bwc.ustc.edu.cn/2021/0421/c5655a481480/page.htm
中国科学技术大学重点监管物品备案表,https://bwc.ustc.edu.cn/_upload/article/files/cb/76/2059f54d41a5bfa72e1a5e4d0a5d/P020170505643345529205.docx
居住证办理申请,https://bwc.ustc.edu.cn/2015/0624/c5655a54690/page.htm
身份证补办申请,https://bwc.ustc.edu.cn/2015/0415/c5655a54684/page.htm
委托书,https://bwc.ustc.edu.cn/2014/0821/c5655a54681/page.htm
恢复户口申请,https://bwc.ustc.edu.cn/2014/0821/c5655a54679/page.htm
赋权申请材料,http://zhb.ustc.edu.cn/2023/0509/c18534a601738/page.htm
计算机软件著作权信息采集表,http://zhb.ustc.edu.cn/2023/0330/c18534a597064/page.htm
中国科学技术大学技术许可转让合同签订审批表,http://zhb.ustc.edu.cn/2021/1110/c18534a532013/page.htm
技术入股材料,http://zhb.ustc.edu.cn/2021/1110/c18534a532012/page.htm
技术转让材料,http://zhb.ustc.edu.cn/2021/1110/c18534a532010/page.htm
技术许可材料,http://zhb.ustc.edu.cn/2021/1110/c18534a532007/page.htm
中国科学技术大学成果转化登记表,http://zhb.ustc.edu.cn/2020/0701/c18534a435233/page.htm
民口横向科学研究项目投标承诺书,http://zhb.ustc.edu.cn/2020/0623/c18534a432486/page.htm
中国科学技术大学职务专利申请登记表,http://zhb.ustc.edu.cn/2020/0408/c18534a417909/page.htm
科技成果转化处用印申请审批单,http://zhb.ustc.edu.cn/2020/0309/c18534a414229/page.htm
